candidate_ref,name,email,phone,current_company,title
C:\Workspace\java\scrape_indeed\fed_part_1\1250.html#3377,Crystal Schroeder,ramireztracey@example.org,+1-742-210-2053,Baker and Sons,Front End Developer | Online Services Specialist
C:\Workspace\java\scrape_indeed\dba_part_1\972.html#3067,Ivan Wheeler,ngordon@example.org,001-384-770-0766x1771,ALLERGY,SQL Server Database Administrator
C:\Workspace\java\scrape_indeed\java_dev_part_0\1200.html#12552,Michelle James,shawn96@example.org,001-318-736-7365x766,PWC,Appian Developer
C:\Workspace\java\scrape_indeed\fed_part_1\1089.html#3197,Maurice Brooks,gloriawells@example.org,716-315-2809,Gomez-Ortega,Software Engineer
C:\Workspace\java\scrape_indeed\it_sa_part_1\581.html#11863,Shawna Griffith,caroline51@example.net,232.673.1585x14936,White Ltd,IT Security Engineer
C:\Workspace\java\scrape_indeed\web_dev_part_1\1875.html#28985,Tammy Bell,,720-418-3667,Collins-Nguyen,Software Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\2876.html#11369,Linda Ware,ericwilliamson@example.net,547-367-9764,Jordan-Campbell,Workday Analyst
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\341.html#20053,Katelyn Estrada,walkertracey@example.org,2349324451,SunTec,Software Engineer
C:\Workspace\java\scrape_indeed\it_pm_part_1\524.html#8757,Casey James,vincentwhitaker@example.com,860-860-7159,Graham Group,Practice & I.T. Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_2\729.html#27264,Jennifer Collins,jeffrey21@example.net,+1-418-483-5523x1243,"Jones, Bean and Burton",CSR
C:\Workspace\java\scrape_indeed\dba_part_1\2290.html#1436,Justin Riley,michelle52@example.com,377-644-9058,Hayes-Brown,Database Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_1\513.html#24349,Angela Lin,gilbertwilliam@example.com,001-480-279-3597,Garcia-Nolan,Systems Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\1357.html#15179,Miguel Wagner,,789.325.5466x59051,Ponce-Hale,Senior Network Administrator - Marine Simulator
C:\Workspace\java\scrape_indeed\net_admin_part_1\949.html#17721,Kurt Hurley,angelica52@example.net,001-981-568-5054x235,SOHONET,NETWORK ENGINEER
C:\Workspace\java\scrape_indeed\fed_part_1\1965.html#4170,Chad Jones,romeroamber@example.net,805.792.9622x29270,Unilever,Full Stack .Net Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\116.html#12506,Cynthia Wallace,karen73@example.net,847.835.9774,ACTINVER,Salesforce Administrator/Dev
C:\Workspace\java\scrape_indeed\dba_part_1\559.html#2608,David Davidson,angela18@example.org,812-247-8261x3750,Shaw-Young,Junior Database Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1427.html#18253,Jade Johnson DVM,lacey20@example.com,827.379.0104x3289,Wipro,Python Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\1374.html#9701,Cynthia Martinez,robertbauer@example.com,417-698-0893,Best,L2 IT ANALYST
C:\Workspace\java\scrape_indeed\web_dev_part_1\1317.html#28366,Lucas Allen,qlopez@example.org,651.288.8880x67065,Liberty,AEM Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1084.html#20878,Austin Allen,ingramjill@example.com,(405)385-2772,Incentive,Software Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\779.html#20538,Terri Johnson,bradleygonzalez@example.org,348-768-7403x45054,LitePoint,Software Engineering Intern
C:\Workspace\java\scrape_indeed\web_dev_part_1\3054.html#30296,James Gonzales,lmorgan@example.com,001-675-784-1616x928,Miller Ltd,Systems Developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\2308.html#29467,Michael Bell,acostarhonda@example.net,(340)516-5820x29702,"Diaz, Reyes and Bradley",Senior Web Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\66.html#11950,Meghan Rush,scott19@example.org,656.654.3102x78681,"Griffin, Davies and Mitchell",Security Analyst
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2218.html#19132,Katherine Martinez,hayesrachel@example.com,455-718-8442,Liberty,Sr. Python Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1172.html#6384,Barbara Harris,joelsnyder@example.com,+1-695-878-2911,"Bowman, White and Burch",IT Project Manager/Business Analyst
C:\Workspace\java\scrape_indeed\soft_dav_part_1\687.html#23520,Thomas Brown,holmeskevin@example.org,335-484-1438x42498,Verizon,IOT Software Engineer
C:\Workspace\java\scrape_indeed\dba_part_1\3069.html#2301,Lauren Jackson,megan90@example.org,909-643-9690,"ZOE Consulting group,",Oracle Database Administrator
C:\Workspace\java\scrape_indeed\dba_part_1\2360.html#1514,Elizabeth Sanchez,eevans@example.net,4277677359,Corning,Press Operator
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2111.html#22020,Emma Travis,theresa25@example.net,+1-415-337-1473,Blue,Sr. Informatica/ETL Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2226.html#7555,Tony Lin,kwright@example.com,001-953-227-8774,Landry PLC,"Program Co-Advisor, Charger Robotics Team"
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1971.html#25968,David Aguilar,williamstroy@example.net,+1-274-580-1624x56506,FujiFilm,Systems Engineer -Third Party Integrations
C:\Workspace\java\scrape_indeed\it_sa_part_1\1261.html#9576,Dylan Hughes,rduran@example.net,+1-891-221-6558x52398,The,Service Desk Lead/Student Assistant Supervisor
C:\Workspace\java\scrape_indeed\dba_part_1\588.html#2640,John Bryant,markaustin@example.org,(794)795-8887x9470,"Healthcare Finance Direct,",Senior Software Engineer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2372.html#7717,Ryan Luna,aprilhoffman@example.net,586.552.7858x5497,Grant-Walker,Senior Project Manager (Contractor)
C:\Workspace\java\scrape_indeed\web_dev_part_1\2460.html#29636,Elizabeth Roberts,hannahburns@example.com,(284)641-9866x524,"Miller, Bradshaw and Douglas",Senior Coldfusion/ Web Developer
C:\Workspace\java\scrape_indeed\fed_part_1\1214.html#3337,Cindy Clayton,sarah42@example.org,+1-993-330-8330x165,"Townsend, Smith and Pierce","Web Developer ( Front End, Back End)"
C:\Workspace\java\scrape_indeed\java_dev_part_0\1206.html#12558,Jennifer Donovan,mwoods@example.com,440-619-3802x62067,"Square,",Sr. Salesforce Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\921.html#9198,Alexandra Bradley,hebertmatthew@example.com,+1-688-472-8743x1527,Doyle LLC,Desktop Support
C:\Workspace\java\scrape_indeed\net_admin_part_1\1179.html#14981,Nicole Thompson,gwilcox@example.com,661-822-7530,GE,Network Engineer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1299.html#21116,Paul Finley,,+1-753-501-7426x8414,Paychex,Software Development Engineer
C:\Workspace\java\scrape_indeed\web_dev_part_1\1463.html#28528,Casey Hernandez,robert87@example.net,+1-533-491-8785x19108,Nationwide,IT Application Developer
C:\Workspace\java\scrape_indeed\fed_part_1\308.html#5409,Aaron Robinson,,+1-801-770-4622,West-Stark,Programmer
C:\Workspace\java\scrape_indeed\it_sa_part_1\911.html#12230,Bobby Brandt,desireebailey@example.org,+1-868-823-0047,Harris Inc,SOC Computer Security Incident Response Analyst
C:\Workspace\java\scrape_indeed\it_sa_part_1\471.html#11741,Jill Powers,sanchezbradley@example.com,783.702.8439,"Simpson, Compton and David",IT Analyst Intern
C:\Workspace\java\scrape_indeed\it_pm_part_1\1683.html#6951,Rachel Flores,trussell@example.com,(887)833-4270,"Moreno, Price and Scott",IT Project Coordinator/Content Specialist
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2382.html#22320,Bob Cole,christopher30@example.com,(299)501-3983x7354,Dell,EMC Senior Principal Software Engineer
C:\Workspace\java\scrape_indeed\it_pm_part_1\598.html#8838,Tonya Wilson,srocha@example.net,001-636-738-5467x854,"Andrade, Owens and Lang",IT Test Manager and Quality Analyst for Project Services
C:\Workspace\java\scrape_indeed\soft_dav_part_1\601.html#23426,Pamela Flores,nathangutierrez@example.net,420.548.9964,Hall-Hudson,FULL-STACK DEVELOPER
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2828.html#22815,Juan Harding,jonathan77@example.com,(252)328-7280,"Williams, Smith and Taylor",Full Stack Software Engineer
C:\Workspace\java\scrape_indeed\dba_part_1\336.html#2361,Ashley Davis,johnharvey@example.com,(246)315-6793x341,Gray-Tran,"Test Engineer, Database engineer"
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\501.html#20231,Adam Jackson,pbruce@example.com,001-218-303-3974,Francisco,"Python - Backend Developer, Stanford & San"
C:\Workspace\java\scrape_indeed\fed_part_1\546.html#5688,Misty Mason DVM,davisjesse@example.org,899-496-5047x73586,"Willis, James and Barton",Front- End Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\886.html#17651,David Jones,eric26@example.com,(811)904-7541x212,"Peters, Russell and Johnson",Network Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_1\497.html#24330,Brandon George,michelle04@example.com,(918)439-8262x2444,Cognizant,Systems Administrator
C:\Workspace\java\scrape_indeed\it_pm_part_1\2727.html#8111,Jeffrey Fisher,,279.893.7124,Skinner-James,Sr. IT Project Manager/Scrum Master (Consultant)
C:\Workspace\java\scrape_indeed\fed_part_1\317.html#5434,Jessica Jordan,kevinmorrison@example.net,575.726.5479,Ramirez-Hartman,Front End Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\1440.html#15272,Kimberly Maldonado,bentonsteven@example.net,674.416.7243,"Henderson, Bennett and Cole",Admin Clerk and Helpdesk Technician
C:\Workspace\java\scrape_indeed\java_dev_part_0\1187.html#12536,Lauren Ferguson,ystephens@example.com,001-789-811-3529x096,DXC,Java Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\685.html#8935,Brett Walker,seanmyers@example.net,001-382-350-7146,Deloitte &,Senior Service Manager
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1428.html#21260,Monica Bailey,stanley38@example.com,(371)477-5140x105,"Sanchez, Thompson and Moore",Full Stack .Net Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\297.html#22972,Tina Hall,lsoto@example.net,+1-366-309-3796x60334,"Lopez, Nguyen and Ellis",Software Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1581.html#18424,Emily Price,wmatthews@example.com,392.449.9125x134,BioMerieux,Python Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2861.html#22852,Kathy Simpson,cperry@example.com,(619)403-4043,Cunningham-Barton,Senior Software Consultant
C:\Workspace\java\scrape_indeed\web_dev_part_1\1732.html#28827,Oscar Norris,imartin@example.org,709.658.4982,CDW,ServiceNow Developer/Admin
C:\Workspace\java\scrape_indeed\sys_admin_part_2\180.html#25778,Derek Hodge,taylorkaren@example.com,9424232536,"Chen, Burton and Brooks",Virtual Server and Systems Administrator Intern
C:\Workspace\java\scrape_indeed\sys_admin_part_2\2075.html#26084,Robert Mack,,(577)859-0175x186,"Farmer, Williams and Sims",I.T. Systems Analyst
C:\Workspace\java\scrape_indeed\it_pm_part_1\2260.html#7593,Mario Barber,rubendavis@example.org,2372129387,"Cooper, Martinez and Dalton",IT Project Manager (remote)
C:\Workspace\java\scrape_indeed\web_dev_part_1\107.html#28091,Karen Perez,crosscurtis@example.com,(942)762-2189x092,"Lewis, Goodman and Gillespie",Web developer
C:\Workspace\java\scrape_indeed\dba_part_1\1954.html#1062,Jessica Robinson,taylordavid@example.net,(656)252-3413x8999,Target,Sr. Database Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\653.html#27180,Mary Turner,juliephillips@example.org,276.713.7918,Anderson-Valencia,IT administrator
C:\Workspace\java\scrape_indeed\it_sa_part_1\2032.html#10433,Holly Vega,xbest@example.org,6918043006,Miles-Miller,T&I Controls Consultant/Contractor
C:\Workspace\java\scrape_indeed\it_pm_part_1\62.html#8863,Mary Thompson,zimmermanjacqueline@example.org,658.384.2524x1056,HCL,Quality Assurance Associate
C:\Workspace\java\scrape_indeed\dba_part_1\2968.html#2188,William Burton,xgibson@example.org,292.552.4191x3800,MYRON,Database Administrator
C:\Workspace\java\scrape_indeed\it_pm_part_1\1726.html#6999,Jack Mora,sarahmathews@example.net,001-263-453-6541x951,Brock Inc,Sr. Technology Project Manager
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1914.html#18794,Andrea Marshall,kiara45@example.org,+1-570-953-4949,Fox,Python Developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\2776.html#29986,Wesley Cuevas,jessicapayne@example.org,(206)803-8505,"Huang, Ellis and Adkins",Jr. Web Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_1\164.html#23961,Kathy Walsh,kjones@example.org,(423)344-5655x74313,Garcia Group,Systems Administrator
C:\Workspace\java\scrape_indeed\it_sa_part_1\201.html#10408,Jason Herrera,shannonford@example.org,524-790-3521,Palmer-Byrd,"Infrastructure Security Analyst, Assoc."
C:\Workspace\java\scrape_indeed\it_pm_part_1\1776.html#7054,Sarah Hawkins,codygarcia@example.org,600-332-3651,MINCIELI,EPIC IT CONSULTANT
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1937.html#21825,Jill Anderson,david70@example.org,001-566-470-6625,UBS,Software Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2542.html#16496,Jeremy Hernandez,deborahporter@example.net,701.946.2638x3806,FBI,Cyber Intrusion Detection Analyst
C:\Workspace\java\scrape_indeed\java_dev_part_0\1669.html#13071,Kari Durham,paul20@example.com,+1-530-540-7859x321,Apple,Sr. Java developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\303.html#30269,Robert Stark,gallagherstacie@example.net,(452)523-9559x0599,Weaver-Thompson,"Robotics Engineer, Vybhava Robotics"
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1558.html#21404,Alicia Woods,,001-725-800-2921x851,"Garcia, Turner and Taylor",Sr. Full Stack .Net Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\134.html#15160,Travis Conner,lbanks@example.net,+1-495-439-2644,Tutoring,Freelance
C:\Workspace\java\scrape_indeed\fed_part_1\2497.html#4761,Tiffany Fry,xrosales@example.net,4297593917,Uber,Senior Software Engineer II
C:\Workspace\java\scrape_indeed\fed_part_1\2400.html#4655,Sean Curtis,franciscojones@example.org,705-941-1526x2181,"Johnson, Dunlap and Martin",Operations Manager
C:\Workspace\java\scrape_indeed\it_pm_part_1\2781.html#8171,Brooke Garcia,terriortiz@example.net,001-284-744-3106x9872,Patterson LLC,Sr. Business Analyst
C:\Workspace\java\scrape_indeed\sys_admin_part_1\965.html#24850,Lori Castillo,johnsongeorge@example.com,871-446-7741,RDE,Systems Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1729.html#18588,James Lopez,bakersteven@example.org,290-821-1586x938,Wells,Python Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1030.html#17813,Jennifer Nichols,,416-508-9899x2172,Martinez Group,Sr. Python/Django Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\472.html#8699,Michael Harris,maryscott@example.net,916-286-8548,Scrum,IT Project Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_2\103.html#24923,Charles Matthews,buckleyanna@example.org,885-464-6799x7024,Jacobs,Network Security Administrator
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2431.html#19369,Erin Young,xmccall@example.org,344-547-1324x75469,Lewis-Holloway,Senior Python Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\432.html#14152,Olivia Camacho,robertsonerik@example.com,001-286-928-9023x303,Hull Ltd,Java Developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\652.html#30768,Jacob Marshall,hreid@example.net,7357797279,Monroe LLC,Game Developer/Graphic Designer/ Web Developer/SEO Specialist
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2400.html#19335,Melissa Mitchell,kwilliams@example.org,433.446.8007,"Owen, Walker and Franklin",Java/ Python engineer
C:\Workspace\java\scrape_indeed\java_dev_part_0\178.html#13194,Michelle Fletcher,rodney65@example.com,637-648-9691x085,"Flores, Taylor and Johnson",Scrum Master
C:\Workspace\java\scrape_indeed\it_sa_part_1\67.html#11961,Edward Meadows MD,aguilarwanda@example.org,638-475-8428x24172,"Lam, Pena and Walker",IT Security Engineer/ Security Consultant
C:\Workspace\java\scrape_indeed\it_pm_part_1\1973.html#7273,Seth Fisher,nathan94@example.com,370-899-9173,"Evans, Brown and Dickerson",Installer/Configuration/Training Specialist
C:\Workspace\java\scrape_indeed\fed_part_1\2362.html#4612,Curtis Ortiz,tthomas@example.org,001-917-352-5007x43292,Mendez Ltd,Founder / Front- end Web Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2851.html#16839,Jeffrey Woods,johnsonjames@example.com,6584300335,Reyes PLC,Network Implementation Engineer/ Network Architect
C:\Workspace\java\scrape_indeed\net_admin_part_1\2373.html#16308,Austin Williams,stephen89@example.net,262-457-5326x03323,"Huff, Williams and Wilson",Network Operations
C:\Workspace\java\scrape_indeed\dba_part_1\917.html#3006,Caleb King,jamiejennings@example.org,661-384-9926x1891,Jimenez PLC,Database Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1350.html#25279,Dennis Mills,michaelortiz@example.org,3873375300,"Caldwell, Hernandez and Davis",Database Administrator
C:\Workspace\java\scrape_indeed\dba_part_1\2399.html#1556,Misty Garcia,dawn74@example.com,201.420.4556x110,Rolta,Services Delivery Manager - Infrastructure Engineer
C:\Workspace\java\scrape_indeed\web_dev_part_1\2288.html#29444,Carolyn Howard,rfriedman@example.net,855-921-6674,Banks-Robles,Web Developer
C:\Workspace\java\scrape_indeed\fed_part_1\1470.html#3621,Michael Brown,,001-972-996-5902,Dun &,Senior Solution Engineer
C:\Workspace\java\scrape_indeed\fed_part_1\2791.html#5088,Jason Williams,diana08@example.net,001-593-958-8916,Alvarado-Davidson,Front- end Web Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1045.html#20835,Lisa Smith,williamharrison@example.com,(517)853-5408,Anthem,UI Developer
C:\Workspace\java\scrape_indeed\fed_part_1\3000.html#5322,David Stevens,,617-501-6608x80199,Malone and Sons,Web Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\2639.html#26710,Henry Schultz,,(372)861-4933,Emerson,Project Manager
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2693.html#22665,Roger Lee,daniel60@example.net,+1-991-477-9827x08086,"Lane, Cross and Anderson",IT-Trainer
C:\Workspace\java\scrape_indeed\java_dev_part_0\247.html#13946,Kyle Andrade,mbarnes@example.net,001-734-565-4722x69848,"Lumity,",Spark/Python Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2829.html#19810,Marcus Roberts,samantha22@example.net,+1-651-858-7996,Mills Inc,Data Analyst - SQL Server Excel VBA XML Salesforce (Jitterbit) SOQL
C:\Workspace\java\scrape_indeed\dba_part_1\2888.html#2099,Anthony Brown,karen24@example.net,520-843-8057x198,Dixon Ltd,Technical Support Specialist
C:\Workspace\java\scrape_indeed\java_dev_part_0\1345.html#12712,Matthew House,ybutler@example.net,580-604-3973x59893,ADP,Sr.Full Stack Java Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\1251.html#12608,William Jones,jillwilson@example.org,(748)242-2940x57202,State of,Sr. J2EE Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2813.html#19793,Lori Cameron,,858-832-8182,Caldwell Group,Puppet and Chef
C:\Workspace\java\scrape_indeed\net_admin_part_1\1612.html#15463,Martin Sellers,susanfleming@example.com,(216)648-4085x8877,"Lee, Palmer and Vaughan",Systems and Network Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\737.html#17486,Tyler Medina,simsjason@example.net,001-336-213-8612x07501,Black,Member
C:\Workspace\java\scrape_indeed\it_pm_part_1\2922.html#8328,David Jones,rhondarussell@example.com,+1-366-750-6180x9190,Omnimax,ERP Manager
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1462.html#18292,Ashley Buchanan,catherine47@example.com,(207)428-3268x4245,General,Python Developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\2279.html#29434,Aaron Carlson,torreskaitlin@example.net,(436)282-2239x431,"Murray, Dunn and Roberts",WEB DEVELOPER/FOUNDER
C:\Workspace\java\scrape_indeed\dba_part_1\1339.html#379,Brett Swanson,wlynn@example.org,+1-431-749-1357x75949,Benjamin-Jackson,Photographer/Film Editor
